Geo_NAME	Geo_QName	Geo_AREALAND	Geo_AREAWATR	Geo_SUMLEV	Geo_GEOCOMP	SE_T001_001
"ZCTA5 85142       "	"ZCTA5 85142, Arizona"	"183833102"	"125610"	"871"	"00"	48870
"ZCTA5 85143       "	"ZCTA5 85143, Arizona"	"93126327"	"0"	"871"	"00"	35015
"ZCTA5 85145       "	"ZCTA5 85145, Arizona"	"57566201"	"8799"	"871"	"00"	2106
"ZCTA5 85147       "	"ZCTA5 85147, Arizona"	"184693008"	"90"	"871"	"00"	4543
"ZCTA5 85172       "	"ZCTA5 85172, Arizona"	"170572599"	"577466"	"871"	"00"	1368
"ZCTA5 85173       "	"ZCTA5 85173, Arizona"	"96633700"	"0"	"871"	"00"	2872
"ZCTA5 85192       "	"ZCTA5 85192, Arizona"	"941656318"	"694092"	"871"	"00"	2120
"ZCTA5 85193       "	"ZCTA5 85193, Arizona"	"671072181"	"63850"	"871"	"00"	4906
"ZCTA5 85194       "	"ZCTA5 85194, Arizona"	"196490243"	"88044"	"871"	"00"	6721
"ZCTA5 85201       "	"ZCTA5 85201, Arizona"	"24145872"	"1341373"	"871"	"00"	46092
"ZCTA5 85202       "	"ZCTA5 85202, Arizona"	"16247196"	"362652"	"871"	"00"	37275
"ZCTA5 85203       "	"ZCTA5 85203, Arizona"	"23725997"	"1237133"	"871"	"00"	35541
"ZCTA5 85204       "	"ZCTA5 85204, Arizona"	"25653620"	"12395"	"871"	"00"	60885
"ZCTA5 85205       "	"ZCTA5 85205, Arizona"	"25343510"	"8096"	"871"	"00"	39858
"ZCTA5 85206       "	"ZCTA5 85206, Arizona"	"24747609"	"70294"	"871"	"00"	33154
"ZCTA5 85207       "	"ZCTA5 85207, Arizona"	"77326920"	"262017"	"871"	"00"	44744
"ZCTA5 85208       "	"ZCTA5 85208, Arizona"	"23246803"	"152558"	"871"	"00"	34762
"ZCTA5 85209       "	"ZCTA5 85209, Arizona"	"28670342"	"20577"	"871"	"00"	37377
"ZCTA5 85210       "	"ZCTA5 85210, Arizona"	"17051574"	"17423"	"871"	"00"	36464
"ZCTA5 85212       "	"ZCTA5 85212, Arizona"	"91756100"	"109357"	"871"	"00"	24492
"ZCTA5 85213       "	"ZCTA5 85213, Arizona"	"24490995"	"528720"	"871"	"00"	31797
"ZCTA5 85215       "	"ZCTA5 85215, Arizona"	"214688077"	"5427547"	"871"	"00"	15963
"ZCTA5 85224       "	"ZCTA5 85224, Arizona"	"24249761"	"440"	"871"	"00"	42796
"ZCTA5 85225       "	"ZCTA5 85225, Arizona"	"33101476"	"3918"	"871"	"00"	69810
"ZCTA5 85226       "	"ZCTA5 85226, Arizona"	"207611133"	"730231"	"871"	"00"	37376
"ZCTA5 85233       "	"ZCTA5 85233, Arizona"	"25214199"	"340097"	"871"	"00"	37564
"ZCTA5 85234       "	"ZCTA5 85234, Arizona"	"30832715"	"77877"	"871"	"00"	50014
"ZCTA5 85248       "	"ZCTA5 85248, Arizona"	"78308216"	"258313"	"871"	"00"	29821
"ZCTA5 85249       "	"ZCTA5 85249, Arizona"	"35758173"	"88173"	"871"	"00"	36908
"ZCTA5 85250       "	"ZCTA5 85250, Arizona"	"24377959"	"248125"	"871"	"00"	15906
"ZCTA5 85251       "	"ZCTA5 85251, Arizona"	"19048355"	"126850"	"871"	"00"	34390
"ZCTA5 85253       "	"ZCTA5 85253, Arizona"	"46562854"	"200306"	"871"	"00"	17047
"ZCTA5 85254       "	"ZCTA5 85254, Arizona"	"35301158"	"91775"	"871"	"00"	45801
"ZCTA5 85255       "	"ZCTA5 85255, Arizona"	"226811440"	"152418"	"871"	"00"	37270
"ZCTA5 85256       "	"ZCTA5 85256, Arizona"	"85498969"	"2183332"	"871"	"00"	4974
"ZCTA5 85257       "	"ZCTA5 85257, Arizona"	"16990967"	"117534"	"871"	"00"	26755
"ZCTA5 85258       "	"ZCTA5 85258, Arizona"	"22203131"	"571659"	"871"	"00"	23342
"ZCTA5 85259       "	"ZCTA5 85259, Arizona"	"53070105"	"0"	"871"	"00"	21422
"ZCTA5 85260       "	"ZCTA5 85260, Arizona"	"37622439"	"28343"	"871"	"00"	36056
"ZCTA5 85262       "	"ZCTA5 85262, Arizona"	"327758703"	"168433"	"871"	"00"	11275
"ZCTA5 85263       "	"ZCTA5 85263, Arizona"	"874939286"	"10343222"	"871"	"00"	2111
"ZCTA5 85264       "	"ZCTA5 85264, Arizona"	"552532720"	"7945350"	"871"	"00"	1249
"ZCTA5 85266       "	"ZCTA5 85266, Arizona"	"44367011"	"2653"	"871"	"00"	11406
"ZCTA5 85268       "	"ZCTA5 85268, Arizona"	"53433475"	"229819"	"871"	"00"	22684
"ZCTA5 85281       "	"ZCTA5 85281, Arizona"	"34574278"	"340085"	"871"	"00"	57348
"ZCTA5 85282       "	"ZCTA5 85282, Arizona"	"28943731"	"44727"	"871"	"00"	48671
"ZCTA5 85283       "	"ZCTA5 85283, Arizona"	"22738886"	"362795"	"871"	"00"	44813
"ZCTA5 85284       "	"ZCTA5 85284, Arizona"	"20095638"	"77342"	"871"	"00"	16479
"ZCTA5 85286       "	"ZCTA5 85286, Arizona"	"42046563"	"52282"	"871"	"00"	38930
"ZCTA5 85295       "	"ZCTA5 85295, Arizona"	"32737996"	"29636"	"871"	"00"	38332
"ZCTA5 85296       "	"ZCTA5 85296, Arizona"	"29325865"	"0"	"871"	"00"	36799
"ZCTA5 85297       "	"ZCTA5 85297, Arizona"	"27321769"	"18675"	"871"	"00"	26979
"ZCTA5 85298       "	"ZCTA5 85298, Arizona"	"37047908"	"9905"	"871"	"00"	21479
"ZCTA5 85301       "	"ZCTA5 85301, Arizona"	"24014066"	"0"	"871"	"00"	60161
"ZCTA5 85302       "	"ZCTA5 85302, Arizona"	"15805548"	"0"	"871"	"00"	36909
"ZCTA5 85303       "	"ZCTA5 85303, Arizona"	"16403323"	"1871"	"871"	"00"	30310
"ZCTA5 85304       "	"ZCTA5 85304, Arizona"	"14422620"	"75864"	"871"	"00"	25883
"ZCTA5 85305       "	"ZCTA5 85305, Arizona"	"16473658"	"955"	"871"	"00"	10822
"ZCTA5 85306       "	"ZCTA5 85306, Arizona"	"14509765"	"49766"	"871"	"00"	24191
"ZCTA5 85307       "	"ZCTA5 85307, Arizona"	"32148424"	"280372"	"871"	"00"	9230
"ZCTA5 85308       "	"ZCTA5 85308, Arizona"	"44926851"	"207701"	"871"	"00"	63876
"ZCTA5 85309       "	"ZCTA5 85309, Arizona"	"8850235"	"118"	"871"	"00"	1485
"ZCTA5 85310       "	"ZCTA5 85310, Arizona"	"23606984"	"14812"	"871"	"00"	19007
"ZCTA5 85320       "	"ZCTA5 85320, Arizona"	"1409323056"	"154359"	"871"	"00"	1197
"ZCTA5 85321       "	"ZCTA5 85321, Arizona"	"3988615424"	"733076"	"871"	"00"	4435
"ZCTA5 85322       "	"ZCTA5 85322, Arizona"	"886808132"	"53343"	"871"	"00"	752
"ZCTA5 85323       "	"ZCTA5 85323, Arizona"	"48114495"	"10917"	"871"	"00"	39507
"ZCTA5 85324       "	"ZCTA5 85324, Arizona"	"759204665"	"0"	"871"	"00"	2886
"ZCTA5 85325       "	"ZCTA5 85325, Arizona"	"2150697301"	"1193532"	"871"	"00"	1212
"ZCTA5 85326       "	"ZCTA5 85326, Arizona"	"954883488"	"159964"	"871"	"00"	51705
"ZCTA5 85328       "	"ZCTA5 85328, Arizona"	"448403416"	"10567234"	"871"	"00"	259
"ZCTA5 85331       "	"ZCTA5 85331, Arizona"	"291050163"	"46988"	"871"	"00"	26960
"ZCTA5 85332       "	"ZCTA5 85332, Arizona"	"1075169491"	"134194"	"871"	"00"	2146
"ZCTA5 85333       "	"ZCTA5 85333, Arizona"	"1876371985"	"210596"	"871"	"00"	790
"ZCTA5 85334       "	"ZCTA5 85334, Arizona"	"166752222"	"3939861"	"871"	"00"	1482
"ZCTA5 85335       "	"ZCTA5 85335, Arizona"	"25897345"	"152706"	"871"	"00"	31787
"ZCTA5 85336       "	"ZCTA5 85336, Arizona"	"9938572"	"40152"	"871"	"00"	700
"ZCTA5 85337       "	"ZCTA5 85337, Arizona"	"1476529952"	"27593"	"871"	"00"	2793
"ZCTA5 85338       "	"ZCTA5 85338, Arizona"	"191069114"	"33419"	"871"	"00"	41115
"ZCTA5 85339       "	"ZCTA5 85339, Arizona"	"550349841"	"415929"	"871"	"00"	35586
"ZCTA5 85340       "	"ZCTA5 85340, Arizona"	"78345758"	"255351"	"871"	"00"	26262
"ZCTA5 85341       "	"ZCTA5 85341, Arizona"	"3650841"	"0"	"871"	"00"	39
"ZCTA5 85342       "	"ZCTA5 85342, Arizona"	"1211061914"	"5156059"	"871"	"00"	1578
"ZCTA5 85343       "	"ZCTA5 85343, Arizona"	"20743921"	"357"	"871"	"00"	196
"ZCTA5 85344       "	"ZCTA5 85344, Arizona"	"1109370167"	"13069337"	"871"	"00"	9147
"ZCTA5 85345       "	"ZCTA5 85345, Arizona"	"33800026"	"18701"	"871"	"00"	56208
"ZCTA5 85346       "	"ZCTA5 85346, Arizona"	"1613038046"	"0"	"871"	"00"	4423
"ZCTA5 85347       "	"ZCTA5 85347, Arizona"	"542004276"	"0"	"871"	"00"	716
"ZCTA5 85348       "	"ZCTA5 85348, Arizona"	"1146206695"	"37430"	"871"	"00"	2786
"ZCTA5 85349       "	"ZCTA5 85349, Arizona"	"46509110"	"140086"	"871"	"00"	25517
"ZCTA5 85350       "	"ZCTA5 85350, Arizona"	"255139866"	"445749"	"871"	"00"	21214
"ZCTA5 85351       "	"ZCTA5 85351, Arizona"	"28050211"	"397751"	"871"	"00"	27789
"ZCTA5 85352       "	"ZCTA5 85352, Arizona"	"161150055"	"0"	"871"	"00"	461
"ZCTA5 85353       "	"ZCTA5 85353, Arizona"	"56158374"	"23381"	"871"	"00"	31011
"ZCTA5 85354       "	"ZCTA5 85354, Arizona"	"1547510876"	"4785"	"871"	"00"	6645
